Ligand	Receptor	interaction.type	sourcedb	host.organism
LOXL2	IL12RB1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DPEP1	ASIC1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LOXL2	TINAGL1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FASLG	YES1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ODAPH	LAMA5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
XCL1	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	CD59	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
DEFB4A	CCR6	-	MI:0468(hprd)	-
HLA-E	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-E	BCAP31	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CMA1	ATP6AP2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HLA-E	CD8B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DEFB4A	CCR6	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EGFR	ATP1B1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PTMA	HSPA1A	-	MI:0468(hprd)	-
EGFR	PTPRC	psi-mi:MI:0203(dephosphorylation reaction)	MI:0917(matrixdb)	-
DEFB4A	CCR6	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
LIPH	FLT4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VIM	IDE	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CGA	SCTR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	HRH2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	P2RY11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIM	ARRB2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VIM	RIPK1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NRTN	GFRA1	-	MI:0468(hprd)	-
EGFR	DOCK4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CGA	ADRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	PTPRJ	psi-mi:MI:0203(dephosphorylation reaction)	MI:0917(matrixdb)	-
TNFRSF1A	DAPK1	-	MI:0468(hprd)	-
EGFR	OLFM1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GHR	AP2A1	-	MI:0468(hprd)	-
GNAI2	LHCGR	-	MI:0468(hprd)	-
GNAI2	C5AR1	-	MI:0468(hprd)	-
GNAI2	ADRA2B	-	MI:0468(hprd)	-
GNRH2	LPAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ADM	AVPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTGF	ITGA5	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
CER1	TDGF1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
STX1A	ITPR3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CTGF	ITGA5	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
