Ligand	Receptor
A1bg	Grb7
A1bg	Grb7
A2m	Apoe
A2m	Rhoa
A2m	Mast1
A2m	Tiam1
A2m	Cdc42
A2m	Anxa2
A2m	Rhou
A2m	Cdc42
A2m	Grb2
A2m	App
A2m	Tnfrsf14
A2m	Rhoj
A2m	Rhof
A2m	Tyro3
A2m	Rhod
A2m	Nos3
A2m	Rasgrf2
A2m	Apoe
A2m	Apoe
Abi3bp	Fzd5
Abi3bp	Fzd5
Abi3bp	Grb2
Abi3bp	Grk5
Abi3bp	Grb2
Ace	Agtr2
Ace	Atp6ap2
Ace	Ace2
Ace	Bdkrb2
Ace	Bdkrb2
Acr	Izumo1
Acr	Zp1
Acr	Adam2
Acr	Zp2
Acr	Zp2
Acr	Zp2
Adam10	Tspan15
Adam10	Efna1
Adam10	Tspan33
Adam10	Notch1
Adam10	Tspan14
Adam10	Grb2
Adam10	Tspan14
Adam10	Olfr1191-ps1
Adam10	Olfr1193
Adam10	Dll1
Adam10	Efna2
Adam10	Epha3
Adam10	Jag1
Adam10	Tgfa
Adam12	Grb2
Adam12	Egf
Adam12	Yes1
Adam12	Egfr
Adam15	Grb2
Adam15	Cdh1
Adam17	Tnfrsf1a
Adam17	Ptch1
Adam17	Tgfa
Adam17	Tgfa
Adam17	Tgfa
Adam17	Il1r2
Adam17	Tnfrsf1a
Adam17	Ncstn
Adam17	Ereg
Adam17	Notch1
Adam17	Ngfr
Adam17	Ghr
Adam17	Egf
Adam17	App
Adam17	Itga5
Adam17	Tnfrsf1b
Adam17	Tgfa
Adam17	Tgfa
Adam17	Cdh1
Adam17	Ptpn3
Adam17	Jag1
Adam17	Egfr
Adam17	Itgb1
Adam17	Itgb1
Adam17	Erbb4
Adam17	Erbb4
Adam17	Il6ra
Adam17	Il6ra
Adam17	Tgfbr1
Adam17	Col17a1
Adam17	Erbb4
Adam17	Hbegf
Adam17	Btc
Adam2	Zp1
Adam2	Zp3
Adam9	Itga3
Adam9	Cdh1
Adamts2	Adam2
Adamts2	Clec12a
Adamts4	Loxl2
Adamts4	Tubb3
Adamts4	Traf2
Adamts6	Snta1
Adamts6	Snta1
Adamts6	Snta1
Adamtsl4	Olfm3
Adamtsl4	Ptger3
Adamtsl4	Ptger3
Adamtsl4	Slc23a1
Adamtsl4	Slc23a1
Adamtsl4	Plscr1
Adamtsl4	Plscr2
Adamtsl4	1700057G04Rik
Adamtsl4	Plscr1
Adamtsl4	Plscr2
Adamtsl4	1700057G04Rik
Adamtsl4	Plscr1
Adamtsl4	Plscr2
Adamtsl4	1700057G04Rik
Adamtsl4	Rab2b
Adamtsl4	Frs3
Adamtsl4	Rab2b
Adamtsl4	Rhoj
Adamtsl4	Tapbpl
Adamtsl4	Olfm3
Adamtsl4	Frs3
Adamtsl4	Catsper1
Adamtsl4	Catsper1
Adamtsl4	Cxcl16
Adamtsl4	Catsper1
Adck1	Stoml2
Adck1	Grpr
Adck1	Plaur
Adck1	Aplnr
Adck1	Il13ra2
Adck1	P2rx5
Adck1	Npy2r
Adck1	Chrm4
Adcyap1	Mme
Adcyap1	Adcy1
Adcyap1	Glp2r
Adcyap1	Gcgr
Adcyap1	Fap
Adcyap1	Drd1
Adcyap1	Rxfp1
Adcyap1	Pth2r
Adcyap1	Npsr1
Adcyap1	Gng2
Adcyap1	Dpp4
Adcyap1	Adora2b
Adcyap1	Gipr
Adcyap1	Mc3r
Adcyap1	Ptgir
Adcyap1	Rxfp2
Adcyap1	Adcy6
Adcyap1	Adcy9
Adcyap1	Ptgdr
Adcyap1	Tshr
Adcyap1	Calcrl
Adcyap1	Gnas
Adcyap1	Crhr1
Adcyap1	Ramp3
Adcyap1	Mc4r
Adcyap1	Gpbar1
Adcyap1	Htr6
Adcyap1	Adcy3
Adcyap1	Adcy5
Adcyap1	Hrh2
Adcyap1	Vipr1
Adcyap1	Pth1r
Adcyap1	Vipr2
Adcyap1	Sctr
Adcyap1	Glp1r
Adcyap1	Sctr
Adcyap1	Sctr
Adcyap1	Mc2r
Adcyap1	Htr7
Adcyap1	Adrb1
Adcyap1	Ghrhr
Adcyap1	Ntrk2
Adcyap1	Ptger2
Adcyap1	Ramp1
Adcyap1	Ramp2
Adcyap1	Ghrhr
Adcyap1	Drd5
Adcyap1	Mc5r
Adcyap1	Adcy7
Adcyap1	Mc1r
Adcyap1	Avpr2
Adcyap1	Lhcgr
Adgrb1	Erbb2
Adgrb1	Magi3
Adgrb1	Elmo1
Adgrb1	Elmo1
Adgrb1	Magi3
Adgrb1	Elmo1
Adgrb1	Dlg4
Adgrb1	Sntg2
Adgrb1	Dlg4
Adgrb1	Adgrb1
Adgrb1	Adgrb1
Adgrb1	Arrb2
Adgrb1	Snta1
Adgre5	Thy1
Adgre5	Cd55b
Adgre5	Cd55
Adipoq	Adipor2
Adipoq	Rxra
Adipoq	Pparg
Adipoq	Cdh13
Adipoq	Adipoq
Adipoq	Adipoq
Adipoq	Adipoq
Adm	Avpr2
Adm	Pth1r
Adm2	Gpbar1
Adm2	Adcy3
Adm2	Mc5r
Adm2	Avpr2
Adm2	Pth1r
Adm2	Rhou
Adm2	Drd5
Aebp1	Grb2
Afp	Ccr5
Afp	Ccr5
Afp	Phb2
Afp	Phb2
Ager	Rhoa
Ager	Rhoa
Ager	Ager
Ager	Grb2
Ager	Grb2
Ager	Tlr9
Ager	Diaph1
Ager	Tlr9
Ager	Diaph1
Ager	App
Ager	Diaph1
Ager	App
Ager	Nrp1
Ager	Egfr
Ager	Egfr
Ager	Egfr
Agr2	Egfr
Agr2	App
Agr2	Dag1
Agr2	Lypd3
Agr2	Dag1
Agr2	Atp4a
Agr2	Catsper1
Agr2	Catsper1
Agr2	Catsper1
Agr3	Ptpn1
Agr3	Esr2
Agr3	Lypd3
Agr3	Lypd3
Agr3	Esr2
Agr3	Dag1
Agr3	Dag1
Agr3	Dag1
Agr3	Akt1
Agrn	Agrn
Agrn	Apoe
Agrn	Lama5
Agrn	Lrp1
Agrn	Ncam1
Agrn	Dag1
Agrn	Dag1
Agrn	Ptprs
Agrn	Cacna1a
Agrn	Cacna1a
Agrn	Cspg5
Agrn	Lrp8
Agrn	App
Agrp	Mc4r
Agrp	Notch2
Agrp	Mc3r
Agrp	Mc4r
Agrp	Mc5r
Agt	Grm4
Agt	Tacr2
Agt	Nmbr
Agt	Fpr1
Agt	Kiss1r
Agt	Atp6ap2
Agt	Atp6ap2
Agt	Bdkrb1
Agt	Htr2a
Agt	Cxcl16
Agt	Fpr3
Agt	Fpr2
Agt	Cckbr
Agt	Adra2b
Agt	Gabbr2
Agt	Casr
Agt	Ripk4
Agt	Fpr-rs4
Agt	Fpr-rs7
Agt	Fpr-rs6
Agt	Fpr-rs3
Agt	Ntsr1
Agt	S1pr4
Agt	Gpr4
Agt	Npy2r
Agt	Npy
Agt	App
Agt	Ace
Agt	Ace
Agt	Ace
Ahsg	Ly96
Ahsg	Egfr
Ahsg	Grb2
Ahsg	Cdc42
Ahsg	Insr
Ahsg	Cdc42
Aimp1	Iqgap1
Aimp1	Iqgap1
Aimp1	Ptpn6
Aimp1	Mcc
Aimp1	Mcc
Aimp1	Mcc
Aimp1	Coro1c
Aimp1	App
Alb	Fcgrt
Alb	Fcgrt
Alb	Fcgrt
Alb	Adra1b
Alb	Kcnma1
Alb	Apoe
Alb	Nr5a2
Alb	Apoe
Alb	Nr5a2
Alb	Lat
Alb	Nphs1
Alcam	Egfr
Alcam	Egfr
Alcam	Egfr
Alcam	Egfr
Alcam	Cd6
Alcam	Alcam
Alcam	Alcam
Alcam	L1cam
Aldoart2	Egfr
Aldoart1	Egfr
Aldoa	Egfr
Aldoart2	Pld2
Aldoart1	Pld2
Aldoa	Pld2
